OrgID,County
1,All
2,Los Angeles
3,Alameda
3,Marin
3,Napa
3,San Francisco
3,Sonoma
4,Alameda
4,Contra Costa
4,Marin
4,Napa
4,San Francisco
4,San Mateo
4,Santa Clara
4,Solano
4,Sonoma
5,Del Norte
5,Humboldt
5,Marin
5,Mendocino
5,Monterey
5,San Francisco
5,San Luis Obispo
5,San Mateo
5,Santa Cruz
5,Sonoma
6,Los Angeles
6,Santa Barbara
7,All
8,Alameda
8,Contra Costa
8,Lake
8,Marin
8,Mendocino
8,Napa
8,Sacramento
8,San Francisco
8,San Joaquin
8,San Mateo
8,Santa Clara
8,Solano
8,Sonoma
8,Yolo
9,All
10,Los Angeles
10,Orange
11,Los Angeles
12,San Diego
13,Contra Costa
13,Marin
13,San Francisco
13,Sonoma
14,Alameda
14,Contra Costa
14,Marin
14,Napa
14,San Francisco
14,San Mateo
14,Santa Clara
14,Solano
14,Sonoma
15,All
16,Alameda
16,Contra Costa
16,Marin
16,Napa
16,San Francisco
16,San Mateo
16,Santa Clara
16,Solano
16,Sonoma
17,Los Angeles
17,San Luis Obispo
17,Santa Barbara
17,Ventura
18,Monterey
18,San Luis Obispo
18,San Mateo
18,Santa Cruz
19,Santa Barbara
20,All
21,Santa Barbara
22,Alameda
22,San Mateo
22,Santa Clara
23,Monterey
23,Santa Cruz
24,San Luis Obispo
24,Santa Barbara
24,Ventura
25,Contra Costa
26,Alameda
26,Contra Costa
26,Marin
26,Napa
26,Sacramento
26,San Francisco
26,San Joaquin
26,San Mateo
26,Santa Clara
26,Solano
26,Sonoma
26,Yolo
27,All
28,Alameda
28,Contra Costa
28,Marin
28,Napa
28,San Francisco
28,San Mateo
28,Solano
28,Sonoma
29,San Diego
30,Los Angeles
30,Ventura
31,Humboldt
31,Mendocino
31,Sonoma
32,Imperial
32,Los Angeles
32,Orange
32,Riverside
32,San Bernardino
32,San Diego
33,Statewide
34,Kern
34,Monterey
34,San Luis Obispo
34,Santa Barbara
34,Ventura
35,All
36,San Luis Obispo
37,Mendocino
38,Alameda
38,Contra Costa
38,Fresno
38,Marin
38,Monterey
38,San Benito
38,San Franciso
38,Santa Clara
38,Santa Cruz
39,Marin
39,Monterey
39,San Benito
39,San Luis Obispo
39,San Mateo
39,Santa Cruz
40,Marin
41,Monterey
42,Santa Cruz
43,All
44,All
45,Orange
45,Riverside
45,San Bernardino
46,Monterey
46,Santa Cruz
47,Los Angeles
47,Ventura
48,Siskiyou
49,San Diego
50,Santa Barbara
51,Los Angeles
52,Los Angeles
52,Orange
52,Riverside
53,Santa Barbara
54,Santa Clara
55,Alameda
55,Contra Costa
55,Marin
55,Monterey
55,San Benito
55,San Francisco
55,San Mateo
55,Santa Clara
55,Solano
56,San Mateo
56,Santa Clara
57,All
58,Alameda
58,Contra Costa
58,Marin
58,Mendocino
58,Monterey
58,Napa
58,San Francisco
58,San Luis Obispo
58,San Mateo
58,Santa Clara
58,Santa Cruz
58,Solano
58,Sonoma
59,All
60,Santa Barbara
61,All
62,All
63,All
64,Marin
65,Monterey
65,San Benito
65,Santa Clara
65,Stanislaus
66,All
67,Alameda
67,Contra Costa
67,Napa
67,San Francisco
67,Santa Clara
67,Solano
68,Orange
68,Riverside
68,San Bernardino
69,Alameda
69,Contra Costa
69,Marin
69,Napa
69,San Francisco
69,Santa Clara
69,Solano
69,Sonoma
70,All
71,Los Angeles
72,Alameda
72,Contra Costa
72,Marin
72,Napa
72,San Francisco
72,San Mateo
72,Santa Clara
72,Santa Cruz
72,Solano
72,Sonoma
73,Los Angeles
73,Orange
74,All
75,Alameda
75,Amador
75,Butte
75,Calaveras
75,Colusa
75,Contra Costa
75,Del Norte
75,El Dorado
75,Glenn
75,Humboldt
75,Lake
75,Lassen
75,Marin
75,Mendocino
75,Modoc
75,Napa
75,Nevada
75,Placer
75,Plumas
75,Sacramento
75,San Francisco
75,San Joaquin
75,San Mateo
75,Santa Clara
75,Santa Cruz
75,Shasta
75,Sierra
75,Siskiyou
75,Solano
75,Sonoma
75,Sutter
75,Tehama
75,Trinity
75,Yolo
75,Yuba
76,Sonoma
77,Alameda
77,San Francisco
77,San Mateo
77,Santa Clara
77,Sonoma
78,Monterey
79,Santa Barbara
80,Orange
81,San Luis Obispo
82,Marin
82,San Francisco
82,San Mateo
82,Sonoma
83,Marin
83,Sonoma
84,Ventura
85,All
86,Ventura
87,All
88,Monterey
89,Alameda
90,Santa Barbara
91,Monterey
92,Humboldt
93,Humboldt
94,Humboldt
95,Los Angeles
95,Orange
95,Riverside
96,Marin
97,Kern
97,Kings
97,Monterey
97,San Luis Obispo
97,Tulare
98,Kern
98,Los Angeles
98,Orange
98,Santa Barbara
98,Ventura
99,Napa
99,Sacramento
99,Solano
99,Yolo
100,Los Angeles
101,Alameda
101,Contra Costa
101,Marin
101,San Francisco
101,San Mateo
101,Santa Clara
101,Santa Cruz
101,Solano
102,All
103,Del Norte
103,Humboldt
103,Mendocino
103,Trinity
104,Alameda
104,Contra Costa
104,Marin
104,Napa
104,Sacramento
104,San Francisco
104,San Joaquin
104,San Mateo
104,Santa Clara
104,Santa Cruz
104,Solano
104,Sonoma
104,Yolo
105,All
106,All
107,All
108,San Luis Obispo
109,Santa Barbara
110,Santa Barbara
111,Monterey
111,San Luis Obispo
111,San Mateo
111,Santa Cruz
112,Monterey
112,San Luis Obispo
112,Santa Barbara
112,Santa Cruz
113,All
114,Los Angeles
114,Orange
114,Santa Barbara
114,Ventura
115,Imperial
115,Riverside
115,San Diego
116,Orange
116,Riverside
117,San Luis Obispo
117,Santa Barbara
118,Santa Barbara
119,Alameda
119,Contra Costa
120,Santa Barbara
121,Santa Barbara
122,Kern
122,Los Angeles
122,Orange
122,San Diego
122,Santa Barbara
122,Ventura
123,Santa Cruz
124,Santa Clara
125,Alameda
125,Contra Costa
125,Del Norte
125,Humboldt
125,Los Angeles
125,Marin
125,Mendocino
125,Monterey
125,Napa
125,Orange
125,San Diego
125,San Francisco
125,San Luis Obispo
125,San Mateo
125,Santa Barbara
125,Santa Clara
125,Santa Cruz
125,Solano
125,Sonoma
125,Ventura
126,Mendocino
126,Sonoma
127,Monterey
127,San Mateo
127,Santa Cruz
128,Alameda
128,Contra Costa
128,Del Norte
128,Humboldt
128,Los Angeles
128,Marin
128,Mendocino
128,Monterey
128,Napa
128,Orange
128,San Diego
128,San Francisco
128,San Luis Obispo
128,San Mateo
128,Santa Barbara
128,Santa Clara
128,Santa Cruz
128,Solano
128,Sonoma
128,Ventura
129,Marin
129,San Francisco
129,Sonoma
130,Sacramento
130,Solano
130,Yolo
131,Alameda
131,Contra Costa
131,Marin
131,San Francisco
131,San Mateo
131,Santa Clara
132,Alameda
132,Contra Costa
133,Santa Clara
134,Kern
134,San Luis Obispo
134,Santa Barbara
134,Ventura
135,All
136,All
137,Alameda
137,Contra Costa
138,Monterey
138,San Benito
138,Santa Cruz
139,All
140,Los Angeles
140,Orange
141,All
142,All
143,San Luis Obispo
144,San Luis Obispo
144,Santa Barbara
144,Ventura
145,All
146,Marin
146,San Francisco
