Organization,County1,County2
30-Minute Beach Cleanup,Los Angeles,
Algalita Marine Research Foundation,Los Angeles,
American Cetacean Society- Orange County Chapter,Orange,
American River Conservancy,Placer,
AmeriCorps Watershed Stewards Project,Humbolt,
Amigos de Bolsa Chica,Orange,
Aquarium of the Bay,San Francisco,
Aquarium of the Pacific,Los Angeles,
Aquatic Adventures,San Diego,
Arana Gulch Watershed Alliance,Santa Cruz,
Arc Ecology,San Francisco,
Arroyo Seco Foundation,Los Angeles,
Audubon Canyon Ranch (ACR),Marin,
Batiquitos Lagoon Foundation,San Diego,
Birch Aquarium at Scripps,San Diego,
Bodega Land Trust,Sonoma,
Bolinas Lagoon Foundation,Marin,
Bolsa Chica Land Trust,Orange,
Bureau of Land Management- Fort Ord,San Benito,
Cabrillo Marine Aquarium,Los Angeles,
Cache Creek Conservancy,Yolo,
California Academy of Sciences,San Francisco,
California Association of Resource Conservation Districts,Sacramento,
California Coastal Conservancy,Alameda,
"California Conservation Corps, Fortuna Center",Humbolt,
"California Department Fish and Wildlife, Gray Lodge Wildlife Area",Butte,
California Department of Conservation - California Geological Survey,Sacramento,
"California Department of Fish and Wildlife, Bay-Delta Region",Napa,
"California Department of Fish and Wildlife, Central Region",Fresno,
"California Department of Fish and Wildlife, State Headquarters",Sacramento,
California Department of Forestry and Fire Protection,Sacramento,
"California Department of Water Resources, Office of Water Education",Sacramento,
California Fish and Game Commission,Sacramento,
"California Integrated Waste Management Board, Office of Education and the Environment",Sacramento,
California Invasive Plant Council (Cal-IPC),Alameda,
"California Native Plant Society, Los Angeles/Santa Monica Mountains Chapter",Los Angeles,
"California Native Plant Society, San Diego Chapter",San Diego,
California Ocean Science Trust,Alameda,
California Sea Grant College Program,San Diego,
California State Parks,Sacramento,
"California State Parks, Carpinteria State Beach",Santa Barbara,
"California State Parks, Montana de Oro State Park",San Luis Obispo,
"California State Parks, Monterey District",Monterey,
"California State Parks, Mt. Tamalpais State Park",Marin,
"California State Parks, Point Mugu and Leo Carrillo State Parks",Los Angeles,
"California State Parks, San Luis Obispo Coast District",San Luis Obispo,
"California State Parks, Sea and Desert Interpretive Association",Riverside,
"California Trout, Inc.",San Francisco,
California Waterfowl Association,Sacramento,
California Watershed Assessment Manual,Yolo,
Californians Against Waste Foundation,Sacramento,
Camp SEA Lab,Monterey,
Carmel River Steelhead Association,Monterey,
Carmel River Watershed Conservancy,Monterey,
Carpinteria Creek Committee,Santa Barbara,
Catalina Island Conservancy,Los Angeles,
Cayucos Land Conservancy,San Luis Obispo,
Center for Biological Diversity,San Francisco,
